Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-12-27,2008.2767333984375,2033.7626213861752,1987.7235259836252,2016.9547543069136,2720261
2019-12-30,1994.300537109375,2032.4838742720485,1988.7284679381708,2016.0413080981623,2288830
2019-12-31,1974.660400390625,2006.906137600808,1970.7781286178422,1999.5983319108643,1909289
2020-01-01,1980.0504150390625,1994.9398935325526,1967.6270538120782,1980.415716185973,1354908
2020-01-02,1970.9613037109375,1991.3318620964083,1963.242476499942,1991.3318620964083,2380752
2020-01-03,2010.2406005859375,2030.6568756544089,1976.7617988826544,1976.7617988826544,4655761
2020-01-06,2010.058349609375,2033.3519891160322,1998.5941804645402,2014.2147102815331,3023209
2020-01-07,2014.990966796875,2023.0293765572342,1994.8487779630507,2010.103781371048,2429317
2020-01-08,2060.116455078125,2064.455465459068,2011.5195834148803,2014.2142926270992,5197454
2020-01-09,2022.7557373046875,2057.102302240849,2018.7820273654468,2054.1792235466282,3734173
2020-01-10,2022.0247802734375,2040.7053192776514,2016.9549440309106,2035.2244634514805,1915807
2020-01-13,2000.83203125,2026.9573082385289,1995.6707585935017,2025.9526185562263,2843893
2020-01-14,2015.9498291015625,2036.868560550392,2005.0795553430062,2005.0795553430062,2948452
2020-01-15,2034.2196044921875,2037.9649452791257,2004.3489840526447,2021.522377365623,2620681
2020-01-16,2045.08984375,2054.407253118142,2023.3490732132877,2034.2650653706498,3117214
2020-01-17,2027.093994140625,2058.5631870773027,2021.5217032215646,2046.8706536347586,3281059
2020-01-20,1982.562744140625,2048.1958615376143,1969.6369248111312,2004.9884017347279,5817599
2020-01-21,1983.201416015625,1997.3602890295542,1971.326232197491,1982.1965035628662,1902980
2020-01-22,2015.9498291015625,2018.7816935344163,1985.6224745078894,1992.2908930310234,1773686
2020-01-23,2005.924560546875,2030.461349321734,1999.2868219457782,2023.1827703189215,2069866
2020-01-24,1999.0123291015625,2005.9247782028651,1986.744045144437,2005.9247782028651,1319430
2020-01-27,1986.0572509765625,2008.2135208846787,1982.1661626664782,2004.7802076698986,1549101
2020-01-28,1999.33251953125,2003.0405421198063,1970.263804021179,1990.4059061068974,1743024
2020-01-29,1972.64453125,2002.26244581974,1968.432910961535,2000.4771676516066,2306761
2020-01-30,1957.3094482421875,1982.166551382643,1945.5445365764974,1977.5887995318749,2098567
2020-01-31,1903.474853515625,1963.2603314783798,1896.6540486371775,1958.7281787759255,3287223
2020-02-03,1924.9444580078125,2009.3581488695922,1916.4297957243875,1970.264196733799,4728073
2020-02-04,1929.7508544921875,1956.2559869848612,1910.3870579696977,1949.2062954400983,3509339
2020-02-05,1965.2742919921875,1974.56703694975,1926.5922967216834,1936.3886389849993,2439322
2020-02-06,1948.6112060546875,1990.5890453466811,1936.8462974903307,1963.855026290125,2640065
2020-02-07,1956.1187744140625,1969.3484297606221,1940.0508241109987,1958.3618276420134,2083442
2020-02-10,1979.3739013671875,1983.9974750283643,1940.051061183712,1960.1015230911266,2383032
2020-02-11,1971.5460205078125,1991.1389319747598,1966.2360073333352,1980.335393215625,1335820
2020-02-12,1987.4305419921875,2000.4771319833835,1968.4328758646566,1969.4400704661562,1620407
2020-02-13,2006.83984375,2011.4634161065433,1987.6591153242173,1989.4443931783003,1645948
2020-02-14,1999.744873046875,2025.1972154868008,1987.6596540785915,2003.2240088088247,1500115
2020-02-17,2017.185791015625,2029.7746050977605,2005.2378173094394,2011.4177805861239,1774724
2020-02-18,2028.6302490234375,2033.4368873207964,2001.4384542172613,2014.1645119191696,2486223
2020-02-19,2010.86865234375,2041.6768253438931,2005.5125945810755,2028.630235764902,1760463
2020-02-20,1974.658935546875,2027.3944988146054,1969.577586667486,2018.3306402363617,2317278
2020-02-24,1936.7088623046875,1994.9377106080792,1928.7892203621625,1973.9258819404386,3092877
2020-02-25,1974.0633544921875,1992.8321324528943,1932.7263548806047,1936.8463305305158,2674567
2020-02-26,1944.262451171875,1981.1589445982704,1934.511707643513,1972.0950872277301,2686842
2020-02-27,1927.691162109375,1940.9208192772378,1910.020996564727,1940.9208192772378,2349001
2020-02-28,1831.2374267578125,1894.7307993986535,1821.9445715406237,1893.3574743447284,4298076
2020-03-02,1832.2906494140625,1880.4942777573012,1818.0079769671045,1863.144646271802,2667076
2020-03-03,1864.2431640625,1886.033302259218,1842.0868952162848,1849.411296390107,2757585
2020-03-04,1907.2742919921875,1917.5742326065495,1853.9893105851581,1882.3713691669554,3237002
2020-03-05,1945.589599609375,1966.3725401975253,1908.0520490806364,1909.5626171927338,3937056
2020-03-06,1937.7161865234375,1944.308103294347,1896.653893946043,1920.8243299470444,2595027
2020-03-09,1805.7855224609375,1904.2528852946032,1771.5897428010326,1899.7667784558878,4940975
